Country,Total Population,Rank
Afghanistan,36373.176,39
Albania,2934.363,138
Algeria,42008.054,34
American Samoa,55.679,208
Andorra,76.953,202
Angola,30774.205,46
Anguilla,15.045,221
Antigua and Barbuda,103.05,199
Argentina,44688.864,31
Armenia,2934.152,139
Aruba,105.67,197
Australia,24772.247,54
Austria,8751.82,98
Azerbaijan,9923.914,90
Bahamas,399.285,177
Bahrain,1566.993,152
Bangladesh,166368.149,8
Barbados,286.388,182
Belarus,9452.113,94
Belgium,11498.519,79
Belize,382.444,179
Benin,11485.674,81
Bermuda,61.07,205
Bhutan,817.054,164
Bolivia,11215.674,83
Bosnia and Herzegovina,3503.554,135
Botswana,2333.201,144
Brazil,210867.954,5
British Virgin Islands,31.719,218
Brunei,434.076,175
Bulgaria,7036.848,105
Burkina Faso,19751.651,59
Burundi,11216.45,82
Cambodia,16245.729,72
Cameroon,24678.234,55
Canada,36953.765,38
Cape Verde,553.335,172
Cayman Islands,62.348,204
Central African Republic,4737.423,127
Chad,15353.184,73
Chile,18197.209,65
China,1415045.928,1
Colombia,49464.683,29
Comoros,832.347,163
Cook Islands,17.411,220
Costa Rica,4953.199,122
Croatia,4164.783,130
Cuba,11489.082,80
Curacao,161.577,191
Cyprus,1189.085,159
Czech Republic,10625.25,87
Denmark,5754.356,115
Djibouti,971.408,160
Dominica,74.308,203
Dominican Republic,10882.996,86
DR Congo,84004.989,16
Ecuador,16863.425,70
Egypt,99375.741,14
El Salvador,6411.558,109
Equatorial Guinea,1313.894,156
Eritrea,5187.948,120
Estonia,1306.788,157
Ethiopia,107534.882,12
Falkland Islands,2.922,227
Faroe Islands,49.489,211
Fiji,912.241,161
Finland,5542.517,116
France,65233.271,22
French Guiana,289.763,181
French Polynesia,285.859,183
Gabon,2067.561,149
Gambia,2163.765,146
Georgia,3907.131,133
Germany,82293.457,17
Ghana,29463.643,49
Gibraltar,34.733,216
Greece,11142.161,84
Greenland,56.565,206
Grenada,108.339,195
Guadeloupe,449.173,173
Guam,165.718,190
Guatemala,17245.346,67
Guernsey,0,232
Guinea,13052.608,75
Guinea-Bissau,1907.268,151
Guyana,782.225,165
Haiti,11112.945,85
Honduras,9417.167,95
Hong Kong,7428.887,104
Hungary,9688.847,92
Iceland,337.78,180
India,1354051.854,2
Indonesia,266794.98,4
Iran,82011.735,18
Iraq,39339.753,36
Ireland,4803.748,125
Isle of Man,84.831,201
Israel,8452.841,100
Italy,59290.969,23
Ivory Coast,24905.843,53
Jamaica,2898.677,140
Japan,127185.332,11
Jersey,0,231
Jordan,9903.802,91
Kazakhstan,18403.86,63
Kenya,50950.879,28
Kiribati,118.414,192
Kuwait,4197.128,129
Kyrgyzstan,6132.932,111
Laos,6961.21,106
Latvia,1929.938,150
Lebanon,6093.509,112
Lesotho,2263.01,145
Liberia,4853.516,123
Libya,6470.956,108
Liechtenstein,38.155,214
Lithuania,2876.475,141
Luxembourg,590.321,169
Macau,632.418,166
Macedonia,2085.051,147
Madagascar,26262.81,51
Malawi,19164.728,61
Malaysia,32042.458,45
Maldives,444.259,174
Mali,19107.706,62
Malta,432.089,176
Marshall Islands,53.167,210
Martinique,385.065,178
Mauritania,4540.068,128
Mauritius,1268.315,158
Mayotte,259.682,186
Mexico,130759.074,10
Micronesia,106.227,196
Moldova,4041.065,132
Monaco,38.897,213
Mongolia,3121.772,137
Montenegro,629.219,167
Montserrat,5.203,226
Morocco,36191.805,40
Mozambique,30528.673,47
Myanmar,53855.735,26
Namibia,2587.801,143
Nauru,11.312,223
Nepal,29624.035,48
Netherlands,17084.459,68
New Caledonia,279.821,185
New Zealand,4749.598,126
Nicaragua,6284.757,110
Niger,22311.375,57
Nigeria,195875.237,7
Niue,1.624,228
North Korea,25610.672,52
Northern Mariana Islands,55.194,209
Norway,5353.363,119
Oman,4829.946,124
Pakistan,200813.818,6
Palau,21.964,219
Palestine,5052.776,121
Panama,4162.618,131
Papua New Guinea,8418.346,101
Paraguay,6896.908,107
Peru,32551.815,42
Philippines,106512.074,13
Poland,38104.832,37
Portugal,10291.196,88
Puerto Rico,3659.007,134
Qatar,2694.849,142
Republic of the Congo,5399.895,118
Reunion,883.247,162
Romania,19580.634,60
Russia,143964.709,9
Rwanda,12501.156,77
Saint Kitts and Nevis,55.85,207
Saint Lucia,179.667,189
Saint Martin,0,233
Saint Pierre and Miquelon,6.342,225
Saint Vincent and the Grenadines,110.2,193
Samoa,197.695,188
San Marino,33.557,217
Sao Tome and Principe,208.818,187
Saudi Arabia,33554.343,41
Senegal,16294.27,71
Serbia,8762.027,97
Seychelles,95.235,200
Sierra Leone,7719.729,103
Singapore,5791.901,114
Sint Maarten,40.552,212
Slovakia,5449.816,117
Slovenia,2081.26,148
Solomon Islands,623.281,168
Somalia,15181.925,74
South Africa,57398.421,25
South Korea,51164.435,27
South Sudan,12919.053,76
Spain,46397.452,30
Sri Lanka,20950.041,58
Sudan,41511.526,35
Suriname,568.301,170
Swaziland,1391.385,153
Sweden,9982.709,89
Switzerland,8544.034,99
Syria,18284.407,64
Taiwan,23694.089,56
Tajikistan,9107.211,96
Tanzania,59091.392,24
Thailand,69183.173,20
Timor-Leste,1324.094,155
Togo,7990.926,102
Tokelau,1.319,229
Tonga,109.008,194
Trinidad and Tobago,1372.598,154
Tunisia,11659.174,78
Turkey,81916.871,19
Turkmenistan,5851.466,113
Turks and Caicos Islands,35.963,215
Tuvalu,11.287,224
Uganda,44270.563,32
Ukraine,44009.214,33
United Arab Emirates,9541.615,93
United Kingdom,66573.504,21
United States,326766.748,3
United States Virgin Islands,104.914,198
Uruguay,3469.551,136
Uzbekistan,32364.996,44
Vanuatu,282.117,184
Vatican City,0.801,230
Venezuela,32381.221,43
Vietnam,96491.146,15
Wallis and Futuna,11.683,222
Western Sahara,567.421,171
Yemen,28915.284,50
Zambia,17609.178,66
Zimbabwe,16913.261,69
